customer_id,age,salary,experience_years,department,performance_score,remote_work_days,satisfaction
1,56,49674,10,HR,78.0,0,9
2,69,50854,24,Finance,76.8,2,10
3,46,61271,32,Marketing,76.2,3,3
4,32,88688,37,Marketing,82.1,3,8
5,60,53518,7,HR,89.3,5,3
6,25,25267,10,IT,67.9,2,6
7,38,105825,21,HR,79.9,1,4
8,56,16062,23,HR,56.0,0,8
9,36,65448,16,Sales,91.5,5,6
10,40,110462,11,Finance,60.1,1,8
11,28,21229,31,Marketing,66.5,4,1
12,28,71793,14,IT,67.8,3,6
13,41,62915,15,Marketing,56.7,4,1
14,53,19632,21,Marketing,75.4,3,1
15,57,119592,27,Finance,77.6,3,8
16,41,18596,19,Marketing,72.7,4,7
17,20,21168,32,Marketing,56.5,4,3
18,39,22561,9,HR,98.8,1,6
19,19,88794,39,Finance,81.6,5,9
20,41,97152,31,Sales,106.6,5,7
21,61,41734,32,IT,65.3,4,3
22,47,21371,1,Marketing,86.5,1,6
23,55,41069,32,IT,84.4,5,4
24,19,94905,32,Sales,71.5,1,3
25,38,27910,12,IT,91.9,1,9
26,50,88479,29,Sales,70.1,3,10
27,29,92735,32,HR,70.7,5,2
28,39,96264,12,Marketing,33.3,5,1
29,61,38275,25,Sales,79.9,3,2
30,42,87274,21,IT,59.1,4,7
31,66,96449,38,Marketing,68.4,3,10
32,44,115776,1,HR,62.7,5,1
33,59,75004,37,Marketing,70.6,5,6
34,45,77981,38,Sales,80.3,4,7
35,33,99659,25,HR,75.1,3,9
36,32,69553,14,IT,83.5,0,8
37,64,63447,33,HR,90.2,0,6
38,68,49529,39,HR,70.6,4,3
39,61,90703,10,Finance,69.3,3,8
40,69,91090,2,HR,86.5,3,7
41,20,32260,5,HR,87.4,1,3
42,54,18812,8,Marketing,83.9,5,9
43,68,43024,5,IT,63.6,2,2
44,24,73656,8,Marketing,80.1,4,3
45,38,42285,38,Marketing,76.3,2,2
46,26,107436,30,Sales,87.6,2,1
47,56,16605,31,Marketing,68.1,4,4
48,35,86158,11,Finance,55.0,3,5
49,21,87303,7,Finance,83.3,4,6
50,42,42139,7,Sales,44.3,2,5
51,31,92149,27,IT,66.2,5,1
52,67,71138,19,IT,62.7,5,3
53,26,91125,6,Marketing,62.6,5,1
54,43,28918,10,Marketing,66.0,3,5
55,19,100655,19,Marketing,89.6,0,5
56,37,42446,15,IT,84.8,4,6
57,45,28046,3,HR,72.0,5,8
58,64,39818,5,Finance,88.6,4,10
59,24,115894,21,HR,62.3,5,1
60,61,19324,25,HR,60.6,3,4
61,25,91323,2,IT,85.4,0,10
62,64,24111,13,HR,82.0,0,1
63,52,53110,10,Sales,69.5,5,9
64,31,31389,17,Marketing,61.4,3,7
65,34,56427,11,Sales,92.5,1,7
66,53,94579,22,Finance,54.4,4,5
67,67,43746,11,Marketing,67.8,4,7
68,57,102886,12,HR,77.7,2,2
69,21,15117,24,Finance,96.6,3,4
70,19,99471,18,Marketing,79.6,2,7
71,23,28234,35,HR,80.8,5,3
72,59,118864,7,Sales,68.2,2,2
73,21,68441,28,Marketing,81.8,0,10
74,46,15846,31,HR,76.3,4,2
75,35,25954,17,Sales,55.9,2,1
76,43,94239,5,Finance,84.5,0,5
77,61,61514,17,Finance,86.6,3,6
78,51,103236,18,Finance,84.6,2,6
79,27,112579,21,Finance,75.4,5,9
80,53,21469,36,IT,63.5,5,4
81,31,45105,31,Marketing,47.3,5,1
82,48,57101,2,Marketing,76.9,4,6
83,65,79323,27,IT,88.0,2,5
84,32,106922,9,HR,86.9,3,10
85,25,73067,34,HR,84.8,2,6
86,31,64376,28,Finance,74.1,4,3
87,40,60587,14,Sales,88.0,0,2
88,57,51976,32,HR,86.1,4,6
89,38,119587,6,Sales,69.9,5,1
90,33,82584,11,Marketing,83.1,0,7
91,62,119537,29,Sales,68.6,5,7
92,35,93477,20,Marketing,81.5,1,10
93,64,57533,30,IT,59.4,4,7
94,41,16828,23,IT,60.3,4,10
95,43,16917,19,Finance,87.7,3,1
96,42,35618,36,HR,86.3,2,4
97,62,47254,3,Finance,82.6,0,7
98,58,62362,27,Marketing,76.1,0,9
99,46,35128,19,Finance,46.3,3,5
100,32,74383,23,Sales,74.1,3,2
101,62,80545,31,Marketing,80.5,2,7
102,18,97180,35,IT,68.6,5,10
103,42,102958,33,HR,66.5,2,1
104,24,24865,35,Marketing,92.3,4,7
105,26,17219,1,Marketing,74.3,5,6
106,41,54809,14,Sales,80.5,1,7
107,18,20287,33,HR,84.3,2,10
108,61,49387,35,IT,63.0,3,3
109,25,23512,5,Marketing,77.3,5,3
110,41,16342,38,Marketing,90.8,2,7
111,28,78076,11,Sales,96.8,0,2
112,68,34216,2,Finance,75.5,1,1
113,34,108070,17,IT,72.1,4,9
114,25,94767,39,HR,78.2,0,9
115,52,112829,20,Marketing,77.9,0,7
116,52,41614,14,Marketing,91.6,1,7
117,50,51258,32,IT,63.0,4,3
118,22,108789,34,Finance,71.6,3,10
119,59,57078,25,Marketing,61.6,5,2
120,56,98524,7,IT,62.9,4,7
121,58,111573,35,Sales,79.5,2,9
122,45,27219,29,Finance,84.7,0,1
123,24,15235,22,HR,67.2,2,4
124,26,57929,13,Marketing,84.3,3,6
125,25,82444,13,IT,88.3,2,7
126,29,23567,1,Sales,98.2,4,10
127,51,116834,36,HR,75.8,2,7
128,50,85792,4,IT,67.3,3,10
129,65,80441,37,IT,63.0,3,2
130,40,99555,13,HR,61.8,3,4
131,41,88698,38,Sales,90.0,4,5
132,54,20415,24,Sales,56.8,3,1
133,52,51159,19,Finance,89.6,0,1
134,61,58925,1,Marketing,64.6,3,10
135,57,20951,38,HR,66.8,2,3
136,39,102388,5,HR,73.2,5,10
137,44,23007,16,HR,66.6,2,3
138,52,56832,24,Sales,86.2,5,8
139,18,73596,27,Marketing,96.8,2,9
140,52,45523,1,Finance,67.1,4,1
141,54,103861,34,IT,69.8,2,2
142,64,101740,36,IT,73.0,4,10
143,31,30524,4,HR,81.5,4,2
144,20,34282,0,Marketing,73.2,3,4
145,18,38930,39,Sales,91.6,0,2
146,22,15077,11,Marketing,88.8,5,7
147,43,35611,35,Marketing,60.8,3,9
148,31,31984,22,Sales,81.3,3,7
149,56,29060,30,HR,93.2,4,6
